,date,N - Activités de services administratifs et de soutien,"M - Activités spécialisées, scientifiques et techniques",G - Commerce,J - Information et communication,K - Activités financières et d'assurance,Q - Santé humaine et action sociale,L - Activités immobilières,P - Enseignement,I - Hébergement et restauration,"B,C - Industrie",S - Autres services,0 - Administration,F - Construction,H - Transports et entreposage,"D,E - Electricité - Eau","R - Arts, spectacles et activités récréatives",A - Agriculture,nan
32,2021-09-01,0.30711311474453346,0.15851350799432876,0.10455154547947494,0.0691726778910764,0.06262289056103247,0.049045367645771776,0.06322385093071062,0.02259727681323746,0.05051324738368304,0.03235996553715938,0.0190454843371057,0.007083650182719179,0.017568366535259256,0.018712914035439152,0.010387473574275004,0.0038799868527763775,0.0034924743813900655,0.0001162051200267612
33,2021-10-01,0.2976069375921876,0.15664965611560394,0.10814556736686842,0.07995335755876928,0.06366570782165107,0.048655262250705,0.059525155082349526,0.021323940796500688,0.04987077255781798,0.030266724687150914,0.018367345016549026,0.012566709428517068,0.01846812735119535,0.018083835832170096,0.009552658298907217,0.0037925240229293943,0.0033842142839650598,0.00012150393616239708
34,2021-11-01,0.3055273143977174,0.1559656257415314,0.10407724079922372,0.07673245838260799,0.06113835552220206,0.0477010840103173,0.05638917880286214,0.02170432118652733,0.048246561706018876,0.02920258974096803,0.021355620590601386,0.01863884264198336,0.019808894710747312,0.01719629287377521,0.009155440404511985,0.003957245352105612,0.0030722306999284277,0.00013070243637058144
35,2021-12-01,0.2949739915192097,0.15298850829783145,0.10477047993756267,0.0743809027825321,0.06274519432114727,0.0484097219828675,0.05159674649651576,0.02044936573490661,0.04953863688836868,0.03164927810353628,0.02190737043092821,0.030858423872371712,0.021296878179647143,0.017562629753210986,0.009557768478486169,0.004369764722046608,0.0028017486613316667,0.00014258983749952195
36,2022-01-01,0.3108682440468088,0.15378814226731147,0.09662990268478616,0.06760640945749967,0.059202357388234955,0.05005956658948783,0.04833704158256537,0.019803129724678552,0.048117166633873804,0.03355867090730782,0.02363963934343697,0.03406109543959836,0.020067185153714685,0.01624505987739403,0.010273502859658652,0.004732962388540612,0.0028506684352558186,0.00015925521984669377
37,2022-02-01,0.3164253358121023,0.16502269692288282,0.09374745596892176,0.06531381739153203,0.05531812587925284,0.04983801514397728,0.04448358847039164,0.020878788672247864,0.046236976346164374,0.03301063315726456,0.022047079154774683,0.03309442253172452,0.019793811488189744,0.015762399994287087,0.012224203227319144,0.004342289116188726,0.0022784996941211753,0.0001818610286573943
38,2022-03-01,0.34268059005568685,0.17485990291294454,0.08666734200525145,0.06220201279433704,0.04778400959931971,0.051161178113893466,0.0429182426548606,0.021842922903442273,0.040466097765247545,0.032995996954318096,0.02382042842148166,0.020407590615456977,0.01792215438715639,0.013005499253560626,0.01530212603244764,0.004091029934144975,0.0016850173281417866,0.00018785826830821498
39,2022-04-01,0.3506836969065082,0.1722384187886644,0.09044066559463769,0.05564284472057139,0.04908559126224988,0.04932932507579736,0.041289107711497984,0.02384479167826794,0.04305221557891707,0.03162542610581903,0.0244680477392725,0.013691072317407394,0.018170805572380377,0.014029044160797494,0.01718730322456837,0.0036504385923579814,0.0014080018367848728,0.0001632031335001632
40,2022-05-01,0.3659309376262702,0.17151566110347588,0.08625234124332498,0.05431161452837105,0.04765086716993863,0.04986254389899342,0.038791083725956084,0.027421914604171323,0.04213475187506511,0.03020329205945287,0.026276410772094864,0.00843915513425889,0.016382709866283787,0.014073830947520842,0.015544940320906708,0.003546790213700976,0.0015269025585098338,0.0001342523517045472
41,2022-06-01,0.3801550465805084,0.17081520129659195,0.0794836593149928,0.05240290889545728,0.04599431110291633,0.05025554810970936,0.03647599743777851,0.031298500978662505,0.04217272208202675,0.025664396819053328,0.027129020376444785,0.010342816712885514,0.015440732972772701,0.014483596259643666,0.012093146231442703,0.0037911485075233734,0.0019094899170148123,9.175640457529614e-05
42,2022-07-01,0.4018317970661938,0.17999091428655167,0.06559836261766243,0.050297728083158695,0.040596042341378584,0.05553617921325538,0.036443480512121616,0.03580894600839207,0.0356277202186433,0.02095331604116903,0.02606476257467626,0.009944459912953004,0.012576874416877935,0.013785860480565855,0.008389142083950038,0.004196036479627975,0.0022841288217392793,7.424884108305612e-05
43,2022-08-01,0.3981831384425286,0.18033701138868571,0.0665310093289471,0.047081147171798475,0.04210906041398984,0.058315896735257236,0.03930140963039249,0.03605060924000619,0.03700687944412971,0.018746005822623018,0.02496772264121312,0.009077569840118878,0.012866369402255965,0.013688917268892294,0.007548055817154916,0.005893112314842505,0.0022458096446976755,5.02754524661146e-05
44,2022-09-01,0.38978221751876424,0.18389484967563946,0.06832656800772054,0.0484704983682512,0.041250109408444174,0.058392849632444455,0.04296711153750408,0.033694390671693955,0.03736483084033642,0.019627590706704664,0.02687128224423147,0.00551759571960065,0.013813313387842419,0.014428274097422962,0.007420450114864657,0.006004676429499471,0.0021290599058121176,4.433173322299657e-05
45,2022-10-01,0.3822480690555887,0.18271534462925004,0.06981996592196649,0.054342678844806556,0.042696467647491285,0.05636660266223825,0.04478363908421772,0.029874499424825066,0.03392667168322998,0.022568047951425828,0.027826790177915013,0.0057171523218903795,0.014005293339214821,0.016732509060086317,0.007561604262348963,0.006428552894470536,0.002361244453670308,2.486658536374409e-05
46,2022-11-01,0.37958911726013594,0.17966754455077188,0.0707803721534681,0.06099757246408551,0.04548834385986971,0.053581504350859586,0.04611493771935294,0.02583256855560325,0.028487347802361167,0.026331370246376086,0.027698437276975615,0.006373634414431034,0.014130309880550392,0.01819286414713413,0.008127684988181802,0.0061561816112222145,0.002415684221428789,3.452449719192168e-05
47,2022-12-01,0.3793871701681294,0.17463187857656434,0.07007849973899084,0.061386894384855575,0.048989943759910975,0.0515847688837672,0.04639856592697653,0.023547459346590634,0.02428911936491052,0.02789006096780231,0.025412443735287463,0.013968422815156263,0.01441952545578111,0.02007209762727891,0.00858769415634942,0.006840902599257356,0.002475154881856416,3.9397610534921063e-05
48,2023-01-01,0.3897872573902914,0.16456971145249605,0.07349508375328775,0.0617050075613839,0.05108477812837256,0.05063163396925381,0.045644108905482955,0.02296534598413849,0.024215533977728826,0.027461515813751388,0.021786191399274873,0.013934795249873488,0.01517910461653472,0.020351316542995056,0.008580835774188224,0.0067094728684221235,0.0018380506865011542,6.0255926023358734e-05
49,2023-02-01,0.40450630291120054,0.15520381355005056,0.07500751830726902,0.06269988393056596,0.05087260705382599,0.04766835792536445,0.04204959996499089,0.025402464783536357,0.0244173248259849,0.02667256258004898,0.017915197564831724,0.013858619185905988,0.016260915539005386,0.02017094417217967,0.009665668126905974,0.005809577941820769,0.0017580880957336216,6.0553540779247745e-05
50,2023-03-01,0.41937534346486083,0.14741296568770212,0.08070290954306827,0.060535919143623385,0.049045136031078344,0.045514380572994347,0.041808885388466666,0.03180870811628042,0.024566886062100977,0.02778766844023268,0.012427286747891094,0.00616451365375703,0.016766403375262424,0.018597371813215892,0.011091667447508438,0.004978815973743456,0.0013482815994003135,6.685693881323868e-05
51,2023-04-01,0.4232649601702474,0.14528545163545856,0.0794441494912565,0.057405887019580784,0.04878501123559428,0.043530108015609706,0.04076591377020484,0.03782677752969724,0.024815189836977315,0.02718078206822406,0.01058232986198959,0.007348117408223271,0.01710943784382884,0.016775608656971412,0.013459461344739259,0.005021278150575233,0.0013314414500698384,6.809451075201253e-05
52,2023-05-01,0.4231737514554341,0.14495788459776385,0.0756177633357991,0.05259061683588067,0.04860032494452031,0.04314230737427396,0.04239587360686183,0.04132594795971046,0.026576617850494234,0.026753169549971957,0.012589365330162854,0.008873399022484641,0.01682437128598917,0.016550045702307017,0.013416811744487231,0.005442932456683376,0.001106800369194187,6.20165779810978e-05
53,2023-06-01,0.4073474668629177,0.1491565977195962,0.07207998656597155,0.05342731142489735,0.05147250250479263,0.04375244421553501,0.043270081449432486,0.045086267425073163,0.027830528378821568,0.026545730356959712,0.013902867015515625,0.012005535901652091,0.01620705083630208,0.016499511438646947,0.013765371086860234,0.0061625224417022895,0.0014239844742302199,6.423990109309262e-05
