nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
DE23,1980-1989,0.0,11.631409685086156,2.0,610.9907549330615,Oberpfalz
DE24,1980-1989,0.0,18.371323529411768,0.0,733.3913256033611,Oberfranken
DE26,1980-1989,0.0,23.166666666666664,0.5,1047.3001845376846,Unterfranken
DE40,1980-1989,0.0,1.0,0.0,146.15837634587635,Brandenburg
DE50,1980-1989,0.0,5.5,0.0,161.6484126984127,Bremen
DE73,1980-1989,0.0,6.666666666666667,0.0,505.5468253968254,Kassel
DE80,1980-1989,0.0,2.033333333333333,0.0,142.05955988455992,Mecklenburg-Vorpommern
DE94,1980-1989,0.0,16.583333333333336,0.0,735.3154761904761,Weser-Ems
DEA2,1980-1989,0.0,105.10595238095237,4.0,5620.059787434788,Koln
DEA3,1980-1989,0.0,24.86840659340659,0.0,1439.929107004107,Munster
DEA4,1980-1989,0.0,30.666666666666668,0.0,988.9369047619049,Detmold
DEB2,1980-1989,0.0,0.0,1.0,128.38809523809522,Trier
DEB3,1980-1989,0.0,46.880266955266954,0.33333333333333337,3129.6526473526474,Rheinhessen-Pfalz
DEC0,1980-1989,0.0,4.033333333333333,0.0,160.67063492063494,Saarland
DED4,1980-1989,0.0,2.7666666666666666,0.25,98.59960317460317,Chemnitz
DED5,1980-1989,0.0,1.9595238095238094,0.0,62.350885225885236,Leipzig
DEE0,1980-1989,0.0,1.7869047619047618,0.0,117.98571428571428,Sachsen-Anhalt
DEG0,1980-1989,0.0,17.853643578643577,0.0,634.5587315462316,Thuringen
DK05,1980-1989,0.0,0.0,0.0,64.64285714285714,Nordjylland
DKZZ,1980-1989,0.0,0.0,0.0,13.183333333333334,DKZZ
EL30,1980-1989,0.0,0.0,1.0,61.56666666666668,EL30
EL43,1980-1989,0.0,0.0,0.0,1.0476190476190477,EL43
EL51,1980-1989,0.0,0.0,0.0,2.0,EL51
EL52,1980-1989,0.0,0.2,0.0,12.533333333333333,EL52
EL63,1980-1989,0.0,0.0,0.0,2.5,EL63
EL64,1980-1989,0.0,0.0,0.0,7.0,EL64
ES11,1980-1989,0.0,0.0,0.0,8.5,Galicia
ES12,1980-1989,0.0,0.0,0.0,6.571428571428571,Asturias
ES13,1980-1989,0.0,1.0,0.0,8.0,Cantabria
ES21,1980-1989,0.0,0.0,1.0,59.88181818181818,Pais Vasco
ES22,1980-1989,0.0,0.0,1.0,15.0,Navarra
ES23,1980-1989,0.0,0.0,0.0,4.0,La Rioja
ES24,1980-1989,0.0,0.0,0.0,14.0,Aragon
ES41,1980-1989,0.0,0.0,0.0,15.706060606060607,Castilla y Leon
ES42,1980-1989,0.0,0.0,1.0,7.0,Castilla-La Mancha
ES43,1980-1989,0.0,0.0,0.0,1.0,Extremadura
ES52,1980-1989,0.0,1.0,0.0,49.333333333333336,Comunitat Valenciana
ES53,1980-1989,0.0,0.0,0.0,17.333333333333336,Illes Balears
ES61,1980-1989,0.0,0.0,0.0,47.95757575757575,Andalucia
ES62,1980-1989,0.0,0.0,0.0,3.0,Murcia
