,year,month,class_label,share_class_1,n_class_1
355,2023,12,DIVERSITY,0.28541391559283935,490850
356,2023,12,WORK_LIFE_BALANCE,0.09496779535557684,163324
357,2023,12,LEADERSHIP,0.2032448279812046,349537
358,2023,12,CULTURE_VALUES,0.6319704288273579,1086852
359,2023,12,PROFESSIONAL_OPPORTUNITIES,0.4053592807929838,697130
360,2024,1,REMUNERATION_BENEFITS,0.5314370547799943,851968
361,2024,1,DIVERSITY,0.3651390396347169,585369
362,2024,1,WORK_LIFE_BALANCE,0.11301321157228938,181176
363,2024,1,LEADERSHIP,0.24081240565390422,386056
364,2024,1,CULTURE_VALUES,0.73691817308532,1181383
365,2024,1,PROFESSIONAL_OPPORTUNITIES,0.4597764387389748,737086
366,2024,2,REMUNERATION_BENEFITS,0.518136740427871,727693
367,2024,2,DIVERSITY,0.3635358384326302,510565
368,2024,2,WORK_LIFE_BALANCE,0.11581681550395104,162658
369,2024,2,LEADERSHIP,0.24254971013398915,340647
370,2024,2,CULTURE_VALUES,0.7400896583838991,1039413
371,2024,2,PROFESSIONAL_OPPORTUNITIES,0.46175278153174,648505
372,2024,3,REMUNERATION_BENEFITS,0.5183947393752707,689324
373,2024,3,DIVERSITY,0.3886952820426433,516859
374,2024,3,WORK_LIFE_BALANCE,0.12016517663762814,159787
375,2024,3,LEADERSHIP,0.24409879313664148,324585
376,2024,3,CULTURE_VALUES,0.740176938441546,984234
377,2024,3,PROFESSIONAL_OPPORTUNITIES,0.47712464504018864,634446
378,2024,4,REMUNERATION_BENEFITS,0.5251980370894521,628661
379,2024,4,DIVERSITY,0.4098452963162846,490584
380,2024,4,WORK_LIFE_BALANCE,0.12187823204382965,145888
381,2024,4,LEADERSHIP,0.25067543972504547,300058
382,2024,4,CULTURE_VALUES,0.7410012380973068,886977
383,2024,4,PROFESSIONAL_OPPORTUNITIES,0.4892054957485309,585578
384,2024,5,REMUNERATION_BENEFITS,0.5263259927391573,556565
385,2024,5,DIVERSITY,0.38792267836017297,410210
386,2024,5,WORK_LIFE_BALANCE,0.12764349810346182,134977
387,2024,5,LEADERSHIP,0.2542997182853517,268910
388,2024,5,CULTURE_VALUES,0.7424140836519448,785068
389,2024,5,PROFESSIONAL_OPPORTUNITIES,0.48435060470772695,512178
390,2024,6,REMUNERATION_BENEFITS,0.4256360822547582,889722
391,2024,6,DIVERSITY,0.31654878285059573,661693
392,2024,6,WORK_LIFE_BALANCE,0.10052407867638441,210129
393,2024,6,LEADERSHIP,0.20395295490914137,426330
394,2024,6,CULTURE_VALUES,0.6332884441967436,1323785
395,2024,6,PROFESSIONAL_OPPORTUNITIES,0.393873709237993,823328
396,2024,7,REMUNERATION_BENEFITS,0.4696455894825511,1300180
397,2024,7,DIVERSITY,0.33257465969857264,920709
398,2024,7,WORK_LIFE_BALANCE,0.1124739382783298,311376
399,2024,7,LEADERSHIP,0.21366493909178783,591516
400,2024,7,CULTURE_VALUES,0.6796842829215713,1881657
401,2024,7,PROFESSIONAL_OPPORTUNITIES,0.4210118522136028,1165541
402,2024,8,REMUNERATION_BENEFITS,0.4594737435048058,1162356
403,2024,8,DIVERSITY,0.32685932036896853,826874
404,2024,8,WORK_LIFE_BALANCE,0.09786560358611802,247576
405,2024,8,LEADERSHIP,0.18800476726007065,475606
406,2024,8,CULTURE_VALUES,0.6597164547555,1668921
407,2024,8,PROFESSIONAL_OPPORTUNITIES,0.3917853705200701,991121
408,2024,9,REMUNERATION_BENEFITS,0.46719265571479685,1219641
409,2024,9,DIVERSITY,0.32611831727428525,851356
410,2024,9,WORK_LIFE_BALANCE,0.10732505571571616,280180
411,2024,9,LEADERSHIP,0.20084663372882744,524325
412,2024,9,CULTURE_VALUES,0.6721694156151099,1754748
413,2024,9,PROFESSIONAL_OPPORTUNITIES,0.4024367821023269,1050591
414,2024,10,REMUNERATION_BENEFITS,0.44778638067154597,1204973
415,2024,10,DIVERSITY,0.3263785533388704,878270
416,2024,10,WORK_LIFE_BALANCE,0.10380924244366777,279346
417,2024,10,LEADERSHIP,0.2121447590167803,570872
418,2024,10,CULTURE_VALUES,0.6673396619415783,1795781
419,2024,10,PROFESSIONAL_OPPORTUNITIES,0.4001939831769762,1076904
420,2024,11,REMUNERATION_BENEFITS,0.4458448622458699,1004019
421,2024,11,DIVERSITY,0.3449335175294978,776772
422,2024,11,WORK_LIFE_BALANCE,0.10664727011781361,240164
423,2024,11,LEADERSHIP,0.19230869998272607,433069
424,2024,11,CULTURE_VALUES,0.6518119653792918,1467846
425,2024,11,PROFESSIONAL_OPPORTUNITIES,0.39072367156065396,879889
426,2024,12,REMUNERATION_BENEFITS,0.4469338173784002,836661
427,2024,12,DIVERSITY,0.3666165954950903,686307
428,2024,12,WORK_LIFE_BALANCE,0.0967632513213127,181141
429,2024,12,LEADERSHIP,0.19360128888751188,362422
